CRN,SUBJ,CRSE,TITLE,DAYS,START TIME,END TIME,BLDG,ROOM,INSTRUCTOR,START DATE,END DATE,WEEKS,SEATS LEFT,STATUS
69855,ACCT,102,BASIC ACCOUNTING,TBA,0:00,0:00,MIRA,WEB,"DISKIN, D",01/29/2018,05/26/2018,16,23,PAST ADD DATE
69861,ACCT,102,BASIC ACCOUNTING,TBA,0:00,0:00,MIRA,WEB,"DISKIN, D",01/29/2018,05/26/2018,16,14,PAST ADD DATE
62376,ACCT,116A,FINANCIAL ACCOUNTING,TBA,0:00,0:00,MIRA,WEB,"HANSEN, J",01/29/2018,05/26/2018,16,12,PAST ADD DATE
90311,ACCT,116A,FINANCIAL ACCOUNTING,TBA,0:00,0:00,MIRA,WEB,"SCHILDHOUSE, R",01/29/2018,05/26/2018,16,12,PAST ADD DATE
93313,ACCT,116A,FINANCIAL ACCOUNTING,TBA,0:00,0:00,MIRA,WEB,"FARRIS, R",01/29/2018,03/24/2018,8,6,PAST ADD DATE
4061,ACCT,116A,FINANCIAL ACCOUNTING,TTH,10:00 AM,11:50 AM,MIRA,M106,"DISKIN, D",01/29/2018,05/26/2018,16,4,PAST ADD DATE
95662,ACCT,116A,FINANCIAL ACCOUNTING,MW,1:15 PM,3:10 PM,MIRA,M106,"HANSEN, J",01/29/2018,05/26/2018,16,9,PAST ADD DATE
4087,ACCT,116A,FINANCIAL ACCOUNTING,W,5:45 PM,9:30 PM,MIRA,M106,"DISKIN, D",01/29/2018,03/24/2018,8,17,PAST ADD DATE
4087,ACCT,116A,FINANCIAL ACCOUNTING,TBA,0:00,0:00,MIRA,WEB,,01/29/2018,03/24/2018,8,17,PAST ADD DATE
40341,ACCT,116B,MANAGERIAL ACCOUNTING,TBA,0:00,0:00,MIRA,WEB,"FARRIS, R",04/02/2018,05/26/2018,8,2,PAST ADD DATE
49159,ACCT,116B,MANAGERIAL ACCOUNTING,TBA,0:00,0:00,MIRA,WEB,"VIERSEN, A",01/29/2018,05/26/2018,16,5,PAST ADD DATE
61130,ACCT,116B,MANAGERIAL ACCOUNTING,TBA,0:00,0:00,MIRA,WEB,"DISKIN, D",04/02/2018,05/26/2018,8,0,PAST ADD DATE
